Job Title,Company Name,Location,Sector,Job Type,Salary,Job Responsibilities
Senior Data Analyst,The Access Group,"Kuala Lumpur City Centre, Kuala Lumpur",Engineering - Software (Information & Communication Technology),Full time,,"Job description Join the Access Family and see how we make software ideas become a reality! Our core value of ‘Love work, Love life’ has been central to our success and so we’re looking for people to join us who share our passion for making things better every day, to help us achieve 2 million users of the Access Workspace platform. Are you ready for the challenge? What are we all about? At Access we love software and how technology never stays the same. It's this obsession that drives us to work closely across sectors to understand the business needs of our customers - from professional services to manufacturing to not for profits and more. We're passionate about helping our customers stay one step ahead of the challenges facing their industry and business. That's why over 1 million users and over 35,000 organisations rely on Access software to help their organisation thrive. About You: We are seeking a highly skilled Senior Data Analyst to lead our newly-formed AI and Data Squad in Kuala Lumpur. You will drive the creation of AI and data-driven solutions for business customers across the APAC region. In this role, you will be at the forefront of delivering actionable insights and enabling data-powered products that address complex business challenges. You will collaborate with engineers and product managers to design scalable, customer-focused solutions. Your expertise in data modeling, analytics, and system-to-system mapping will be critical in building impactful, user-centric products. Key Responsibilities: 1. Product Data Insights: Partner with regional product managers and customers to understand business requirements and translate them into data-driven solutions. Leverage data to design features and functionality that enhance product offerings for business customers. Deliver actionable insights through dashboards, reports, and advanced analytics to guide product development and customer decision-making. 2. Data Modeling for Products: Create and maintain scalable data models tailored to support AI and data products. Collaborate with engineers to ensure models are optimized for performance and reliability in customer-facing solutions 3. System-to-System Data Mapping: Work closely with customers and internal teams to map data between systems, ensuring seamless integration with external and internal product platforms. Document data flows and dependencies for use in product implementation and ongoing support. Conduct testing and validation to guarantee data accuracy and integrity in customer solutions 4. Collaboration Across Teams: Act as a bridge between product managers, engineers, and customers to ensure alignment on data requirements and deliverables. Enable the integration of predictive and prescriptive analytics into product features. Partner with business stakeholders to understand pain points and design user-friendly, data-powered tools. 5. Customer-Centric Approach: Engage directly with customers to understand their data challenges and ensure product solutions meet their needs. Provide training and support to internal stakeholders, enabling them to position product features effectively. 6. Continuous Improvement: Stay updated on industry trends and emerging technologies in AI, big data, and analytics. This will include being closely connected to our Evo/Data team as they advance our AI and data capabilities Contribute to the iterative improvement of data pipelines, models, and customer-facing analytics tools. Required Skills and Qualifications: 5+ years of experience in data analysis or a similar role, preferably in a product development environment. Strong proficiency in SQL and data modeling techniques (e.g., dimensional modeling, star schema). Proven experience in system-to-system data mapping and integration projects. Familiarity with business intelligence and analytics tools like Power BI, Tableau, or Looker. Experience working in cross-functional teams to deliver customer-focused products. Knowledge of programming languages like Python or R for data analysis. Understanding of data pipelines and ETL workflows in the context of product development. Excellent communication skills, with the ability to engage technical and non-technical audiences. Strong problem-solving skills and a customer-centric mindset. Preferred Skills: Exposure to AI/ML workflows and integrating data models with predictive analytics. Experience with cloud-based platforms (AWS, Azure, or GCP). Familiarity with data governance, compliance, and security in customer-facing applications. Knowledge of agile methodologies and working in a product-focused environment. Education: Bachelor’s or Master’s degree in Computer Science, Engineering, or a related field. What does Access offer you? We offer a blended approach to office working, encouraging you to collaborate and connect in one of our thriving office. We deliver on what we say, taking the development of our people seriously. We'll work with you to progress your success plan and provide opportunities to accelerate your career. Become part of our amazing Access family! At Access we're all about helping everyone Love Work and Love Life because we believe people can only be at their best when they can be themselves, love what they do and do what they love. We love the fact that we’re all different. Having more diverse perspectives at work improves how we run our business, helps us support our customers, and when you think about it, it's just more fun. So, no matter what makes you individual, as long as you’re qualified, we can’t wait for your application."
"VP1, Data Analytics & Insights Specialist",United Overseas Bank (Malaysia) Bhd,Kuala Lumpur,Analysis & Reporting (Banking & Financial Services),Full time,,"United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. x Our history spans more than 80 years. Over this time, we have been guided by our values – Honorable, Enterprising, United and Committed. This means we always strive to do what is right, build for the future, work as one team and pursue long-term success. It is how we work, consistently, be it towards the company, our colleagues or our customers. The Compliance function is a strategic partner and a trusted business enabler to the Board and senior management. It is our responsibility to ensure that the Group continuously fulfils its regulatory obligations in today’s tight and dynamic regulatory landscape. To do that, we work closely with internal stakeholders to identify and to assess regulatory risks. This collaboration also includes developing practical solutions that integrate regulations into operational requirements as well as actively shaping and promoting stronger compliance culture and literacy in the Bank. OVERVIEW OF ROLE Responsible for building analytical capabilities in response to external and internal requests; adopting in-house AFC analytical models into countries context. These includes driving and providing guidance to country AFC analytics team when engaging with the business, Group Compliance/AFC, regulators etc. to understand the needs and requirements and subsequently reflect these requirements in the AFC analytics models together with Group Modelling team. This role also need to ensure that the design and data architecture for the countries supported can support AFC analytics needs so that we can have a seamless deployment of AFC analytical models into production environment and compatibilities of country specific systems against the model to be deployed. JOB RESPONSIBILITIES Support model maintenance - Liaise with countries Business Analyst to receive and understand business feedback on model performance and incorporate feedback into models' enhancement/ maintenance. - Together with country data analytics team and centralized modelling team perform re-train and recalibrate existing AFC analytical models to prevent model drift periodically or as needed. New model development - Work closely with model end-users and other key stakeholders (e.g., Head of Modelling, Business Analyst, Data and Ops Engineer, GC) to identify additional areas which require analytics support or future model build and include those models in development pipeline. - Develop model narratives (e.g. purpose, logic, parameters, data requirements, output surfacing/structuring) in collaboration with the business and other relevant stakeholders in respective countries. - Work closely with Group modelling Data Scientist(s) and countries Business Analyst, and to support regional AFC model development for various range of models (rule-based, supervised/unsupervised models, etc.) on structured, semi-structured, and/or unstructured data if needed Special projects - Support special/high-priority projects, including building AFC analytical capabilities in response to external (e.g., regulatory) requests or internal intelligence, or based on gaps identified for existing analytical capabilities/models - Keep abreast with the latest, cutting-edge developments in data science and advanced analytics and recommend adoption of best practices within the bank, in relation to AFC/AML - Communicate with countries Business Analyst to understand new regulatory requirements/policy updates relating to the areas/risks covered by the AFC analytical models and work with the relevant teams to ensure that these updates are appropriately reflected in those models Model governance - Support the Head of Analytics Assurance in identifying enhancements to existing model governance policies and processes, particularly in relation to newly built models - Participate in the model governance process, including but not limited to model testing, assessing models for biases and for compliance with applicable ethics standards 5 – 10 years of experience working in the technology space and preferably 2 – 4 years of data science/data analytics experience 1 – 2 years of experience working with advanced analytical models/tools/applications (e.g., machine learning) Prior experience working on large-scale analytics projects Experience in or familiarity with analytics related to AML/AFC/compliance risks Ability to clearly communicate technical results in an easy-to- understand manner and tailoring them to different audiences Ability to handle multiple priorities and work under pressure Bachelor’s degree, or equivalent, in Computer Science, Engineering, Statistics, Mathematics, Business Analytics etc. Technical skills R and Python for data science, with strong practical knowledge of data wrangling and machine learning libraries (e.g., Pandas, Keras, Tensorflow, Sklearn) Comfortable working with structured and unstructured data and distributed databases Familiar with natural language processing and network link analysis Familiar with best practice development standards UOB is an equal opportunity employer. UOB does not discriminate on the basis of a candidate's age, race, gender, color, religion, sexual orientation, physical or mental disability, or other non-merit factors. All employment decisions at UOB are based on business needs, job requirements and qualifications. If you require any assistance or accommodations to be made for the recruitment process, please inform us when you submit your online application. Apply now and make a difference. Competencies 1. Strategise 2. Engage 3. Execute 4. Develop 5. Skills 6. Experience"
(B) Advanced Analytics,Biopure Water Filtration Pty Ltd,Kuala Lumpur,Business/Systems Analysts (Information & Communication Technology),Full time,,"Subject matter expertise in TD, HD, BDA, R, Phyton, ETL and Data Management process/technologies Designing and deploying algorithms, culling infromation and recognizing risk, extrapolating data using advanced computer modeling, triaging code problems Data analysts/architects/Scientist/Statistician are involved in data munging and data visualization Physical & logical data modelling"
Senior Data Analyst (Tableau + SQL),Sleek Hong Kong Limited,Malaysia,Developers/Programmers (Information & Communication Technology),Full time,,"Through proprietary software and AI, along with a focus on customer delight, Sleek makes the back-office easy for micro SMEs. We give Entrepreneurs time back to focus on what they love doing - growing their business and being with customers. With a surging number of Entrepreneurs globally, we are innovating in a highly lucrative space. We operate 3 business segments: Corporate Secretary: Automating the company incorporation, secretarial, filing, Nominee Director, mailroom and immigration processes via custom online robots and SleekSign. We are the market leaders in Singapore with ~5% market share of all new business incorporations Accounting & Bookkeeping: Redefining what it means to do Accounting, Bookkeeping, Tax and Payroll thanks to our proprietary SleekBooks ledger, AI tools and exceptional customer service FinTech payments: Overcoming a key challenge for Entrepreneurs by offering digital banking services to new businesses Sleek launched in 2017 and now has around 15,000 customers across our offices in Singapore, Hong Kong, Australia and the UK. We have around 450 staff with an intact startup mindset. We have achieved >70% compound annual growth in Revenue over the last 5 years and as a result have been recognised by The Financial Times, The Straits Times, Forbes and LinkedIn as one of the fastest growing companies in Asia. Backed by world-class investors, we are on track to be one of the few cash flow positive, tech-enabled unicorns based out of Singapore. Requirements We are looking for a Senior Data Analyst that is excited about the below Mission and Outcomes over the next 6-12 months. Mission: Drive informed decision making within the COO’s organization by turning data from our Accounting, Corporate Secretary, FinTech and Compliance operations into actionable insights that improve the robustness and profitability of Sleek’s operations. Outcomes: 1/ Data reliability Ensuring that your analysis is at least 90% accurate, with clear understanding and explanation of what causes the 10% gap. 2/ Dashboard creation and management - Visualizing data in Looker Studio or Tableau, in a way that is clear and concise - Calculation of metrics are to be consistent with existing dashboards - Dashboards are to be prototyped with the end user in Google Sheets before created - Efficient/ scalable solutions to be proposed to ensure long-term sustainability of dashboards - Dashboard usage is to be reviewed every quarter those with low utilization are to be archived 3/ Documentation Ensure all key metrics and calculations are clearly documented in Google Docs and pinned/ linked in our internal Wiki or Slack channels. Language should be accessible to other Data Analysts and non-technical stakeholders. 4/ Data quality recommendations Work with Tech, Product and Data Engineers to ensure data pipelines are robust and efficient, so that Big Query is maintained as best as possible. 5/ Collaborate with other Data Analysts Even though you’ll be embedded within the functional team and working independently, you’ll need to contribute to an inclusive, friendly, knowledge sharing culture with other DAs, so that everyone is aware of each other's workstreams/ sprints, challenges and learnings. To do this, you will have a minimum of 5 years experience as a Data Analyst. The interview process The successful candidate will participate in the below interview stages (note that the order might be different to what you read below). We anticipate the process to last no more than 3 weeks from start to finish. Whether the interviews are held over video call or in person will depend on your location and the role. Case study A ~60 minute chat with the Hiring Manager (COO) or CFO and 1-2 other Data Analysts, where they will give you some real-life challenges that this role faces, and will ask for your approach to solving them. Career deep dive A ~60 minute chat with the Hiring Manager (COO). They’ll discuss your last 1-2 roles to understand your experience in more detail. Behavioural fit assessment A ~60 minute chat with our Head of HR or the CFO, where they will dive into some of your recent work situations to understand how you think and work. Offer + reference interviews - We’ll make a non-binding offer verbally or over email, followed by a couple of short phone or video calls with references that you provide to us. - We are offering SGD 3,000 to SGD 4,000 monthly remuneration for this role, along with the other financial, wellbeing and lifestyle benefits mentioned earlier in the job description. Requirement for background screening Please be aware that Sleek is a regulated entity and as such is required to perform different levels of background checks on staff depending on their role. This may include using external vendors to verify the below: Your education Any criminal history Any political exposure Any bankruptcy or adverse credit history We will ask for your consent before conducting these checks. Depending on your role at Sleek, an adverse result on one of these checks may prohibit you from passing probation. By submitting a job application, you confirm that you have read and agree to our Data Privacy Statement for Candidates, found at sleek.com. Benefits some other great things about working at Sleek... Humility and kindness: Humility is a core attribute we hire for, which means we have a culture of not taking ourselves too seriously and being able to laugh. Kindness is also incredibly important. We are committed to creating and nurturing a diverse and inclusive environment. Flexibility: You’ll be able to work from home 2-3 days per week if you live in Singapore or Hong Kong, or 5 days per week if you’re fully remote. If you need to start early or start late to cater to your family or other needs, we don’t mind, so long as you get your work done and proactively communicate. You can also work fully remote from anywhere in the world for 1 month each year Financial benefits: We pay competitive market salaries and provide staff with generous paid time off and holiday schedules. Additionally, you’ll be able to access our flexi benefits scheme for home office equipment or health and fitness expenditure. Certain staff at Sleek are also eligible for our employee share ownership plan and can share in the upside of our stellar growth trajectory as we work toward listing on a prominent stock exchange in the Asia Pacific region. Personal growth: You’ll get a lot of responsibility and autonomy at Sleek - we move at a fast pace so you’ll be making decisions, making mistakes and learning. There’s also a range of internal and external facing training programmes we run. We’re also at the forefront of utilizing AI in our space and are developing a regional center of AI excellence. It is our intention that if you leave Sleek, you leave as a more well-rounded person and professional. Sleek is also a proudly certified B Corp: Since we started our journey in 2017, we’ve been committed to building Sleek as a force for good. In just over 5 years, we’ve joined a community of industry leaders like Patagonia, Ben & Jerry's, and P&G who are building an inclusive, equitable, and a regenerative economy. We have planted over 29,271 trees to reforest our ecosystem and saved 7 tons of paper from landfills by processing over 1.4M pages through Sleek Sign. We aim to be Carbon Neutral by 2030."
"Executive, IT Business Analyst",Malayan Flour Mills Berhad,Kuala Lumpur,Business/Systems Analysts (Information & Communication Technology),Full time,,"Company Description Established in 1961, Malayan Flour Mills Berhad (MFM) is the pioneer in the flour milling industry in Malaysia. MFM has grown to become the leading flour miller in Malaysia with regional presence in Vietnam and Indonesia. Over the years, we have expanded into poultry integration, aquaculture, and raw material trading. In FY23, the group revenue was RM2.15 billion. MFM is one of the major poultry integrators in poultry feeds, breeding, farming with a state-of-the-art processing facility across the poultry value chain. Designed to meet the domestic and international markets, the advanced facility will process up to 300,000 birds per day. With our asset of 3,000 people, we have transformed and grown in Malaysia and regionally. Synergising with our workforce, we embrace Artificial Intelligence, Big Data, Internet of Things (IoT) in our day-to-day business. Through our partnership with Tyson Food, Inc. and Toyota Tsusho Group, we aspire to be a leading global halal food enterprise while achieving sustainable development goals. Building the workforce of the future...Today. We invite you to be part of our team! Job Description Job Purpose Responsible for data collection, conduct data analysis and identify underperforming areas in operations to improve the organisation's supply chain operations. Job Accountabilities Provide recommendations to improve the overall operations and efficiencies of the applications, especially in ERP to support current and meet new business requirements. Identify and troubleshoot problems, enquiries, provide advice and follow-through in meeting user needs and expectations within a stipulated time to ensure the smooth operation of the JDE / MTech application, BI Cognos, and other application systems. Consults with functional unit management and personnel to identify, define, document business needs and objectives, current operational procedures, problems, input, and output requirements. Acts as a liaison between departmental end-users and technical team in the analysis, design, configuration, testing and maintenance of systems to ensure optimal operational performance. Analyse the feasibility of current process or systems, develop requirements for new systems and enhancements to existing systems; ensures the system design fits the needs of the users. Identify opportunities for improving business processes through information systems and assists in the preparation of proposals to develop new systems and/or operational changes. Participate in user acceptance testing and testing of new system functionality. Participate in studies of new and existing programs and special projects to determine feasibility, resolve problems including SOP, technical and analysis. Help users to develop policy and procedures to improve efficiency, cost-effectiveness, and/or improve internal and external customer service. Additional Information MFM notable awards and recognitions : HR Asia Best Companies to Work For in Asia 2024 (7 years consecutively, from 2018 to 2024) HR Asia Most Caring Company Award (5 years consecutively, from 2020 to 2024) HR Asia Diversity, Equity & Inclusion (DEI) Award (2 years consecutively, from 2023 to 2024) HR Asia Sustainable Workplace Award (2024) HR Asia Happiest Workplace Award (2024)"
Senior Data Analyst,Capgemini Services Malaysia Sdn Bhd,Kuala Lumpur,"Mathematics, Statistics & Information Sciences (Science & Technology)",Full time,,"Lead and mentor a team of data scientists in developing and implementing advanced analytics solutions. Collaborate with business stakeholders to understand their requirements and translate them into data science projects. Design and implement machine learning models and algorithms to analyze large-scale datasets, utilizing Python (including XGBoost, LightGBM, NLTK, Spacy, Pyspark, Tensorflow, networkx), Dataiku, and SAS. Apply business acumen, particularly in the banking domain, to develop data-driven insights and solutions. Demonstrate leadership skills and stakeholder management to effectively communicate findings and drive decision-making. Conduct statistical analysis and hypothesis testing to derive actionable insights from data. Develop data pipelines and workflows for data processing and model deployment. Stay updated with the latest trends and best practices in data science and machine learning."
System and Data Analytic,Tribehired.com,"Kuala Lumpur City Centre, Kuala Lumpur",Management (Information & Communication Technology),Full time,,"The company provides One Stop Services including The company (The company-Solution with Point of Sales, Business Intelligence, Dashboard, etc.). Vision To be the leading The company, consultancy and business solution company in ASEAN. Core Values Excellence Business partners Innovation KWSP / SOCSO / PCB Annual / medical leave Overtime pay Mission (3S) Simplify on process automation and efficiency. Speedy information delivery and financial or business analysis Sustainable growth and success Positive environment Cooperative working relationship This is a full-time on-site role for a System and Data Analytic at The Company located in Ampang. The role will involve tasks related to • Ensure that the data sources and repositories provide consistent and reliable data. • Use different algorithms and IT tools as demanded by the situation and the current data. • Prepare reports in the form of visualizations such as graphs, charts, and dashboards. • Work independently with minimal supervision to provide end-user system implementation services. • To provide System and Analytics Training Online/Offline and perform troubleshooting to customer’s problem. • Prepare guidelines, training materials where the need for this has been established • To perform any other assignment as and when required by the management. Analytical Skills and Troubleshooting abilities Experience in Technical Support Strong Communication skills Knowledge of Information Technology Ability to work well in a team environment Certifications in relevant IT fields are a plus Bachelor's degree in Computer Science, Information Technology, or related field Systems Analyst Fresh (0-1 Years)"
Data Analyst,VAT Group AG,"Batu Kawan, Penang",Management (Information & Communication Technology),Full time,,"BE GREAT TOGETHER WITH US. Innovation, Efficiency and Ambition: this is what VAT has stood for over 50 years. With this passion, VAT has grown to become the leading international developer, manufacturer and supplier of high-performance high-end vacuum valves and vacuum sealing technology, employing over 2000 people worldwide. The headquarters are located in Haag (Switzerland), the production centers in Switzerland, Malaysia, Romania and Taiwan. Job Description: Data Analyst Overview: The Data Analyst in Finance is responsible for driving the digitalization strategy within a financial organization. This role focuses on leveraging emerging technologies, optimizing processes, and enhancing customer experiences to improve operational efficiency and business growth. The ideal candidate will have expertise in financial services, digital technologies, and change management. Key Responsibilities: Strategic Digital Transformation: Develop and implement a comprehensive digital transformation roadmap aligned with business objectives. Technology Adoption: Identify, evaluate, and implement emerging technologies (e.g., AI, blockchain, cloud computing, automation, data analytics) to optimize financial operations. Process Optimization: Streamline financial processes through automation, AI-driven analytics, and data-driven decision-making. Customer Experience Enhancement: Improve digital banking, payments, and customer engagement strategies using innovative technologies. Stakeholder Collaboration: Work with cross-functional teams, including IT, finance, risk, compliance, and operations, to ensure seamless digital integration. Change Management: Lead organizational change initiatives, ensuring smooth adoption of new digital tools and methodologies. Regulatory Compliance & Risk Management: Ensure digital initiatives comply with financial regulations and industry standards. Performance Monitoring: Track KPIs, measure digital transformation success, and adjust strategies as needed. Required Skills & Qualifications: Education: Bachelor's or Master’s degree in Finance, Business, IT, or related fields. Experience: 7+ years of experience in financial services, digital transformation, or technology-driven roles. Technical Knowledge: Familiarity with fintech solutions, automation, cybersecurity, data analytics, and cloud-based platforms. Leadership & Communication: Strong leadership, project management, and stakeholder management skills. Problem-Solving: Ability to identify business challenges and implement innovative digital solutions. Preferred Qualifications: Certifications in digital transformation, fintech, or project management (e.g., PMP, Agile, Six Sigma). Experience working with financial regulatory frameworks and compliance requirements. Knowledge of AI, blockchain, RPA, and cloud computing in financial services. Interested? We look forward to receive your application. You can expect a dynamic and successful company where innovation, courage, fairness and transparency are encouraged and your ideas are welcome. Sanjeev Selvarajah"
Delivery Operation Controller,Maxis Broadband Sdn Bhd,"Kuala Lumpur City Centre, Kuala Lumpur",Business/Systems Analysts (Information & Communication Technology),Full time,,"Are you ready to get ahead in your career? We want to empower you to turn your ambitions into achievements. We thrive in inclusiveness, diversity and embrace close collaborations for you to create impact for yourself and others. Together, we aim to bring the best of technology to help people, businesses and the nation to be ahead in a changing world. To realise our vision to become Malaysia’s leading converged solutions company, we are looking for a new talent to innovate and grow with us in a culture that values commitment, performance and possibilities. Why does this job exist and why is it critical? The Delivery Operations Controller plays a pivotal role in driving excellence across the entire delivery lifecycle by transforming operational insights into actionable strategies. This role requires a highly analytical mindset, with expertise in risk anticipation, issue management, resource optimization, and process improvement. By leveraging data as a support tool, the Controller ensures that operations are consistently optimized and that key insights are accessible to enhance decision-making across the organization. What are you accountable for? Lead initiatives to streamline delivery operations, reduce bottlenecks, and improve productivity. Develop frameworks for continuous improvement, ensuring alignment with business objectives. Set standards for operational performance, establishing governance practices and monitoring key metrics to maintain alignment with organizational goals and best practices. Analyze operational data to identify trends, inefficiencies, and opportunities for optimization across delivery processes, providing actionable insights to support efficiency. Partner with cross-functional teams to gather, organize, and streamline data from diverse sources, ensuring accuracy, relevance, and alignment with business intelligence goals. Establish clear data requirements and continuous feedback loops to enhance data-driven decision-making. Develop and maintain interactive Power BI dashboards and reports to provide visually clear and actionable insights that support informed decision-making, following best practices in data visualization and user experience. Transform raw data from sources such as databases, APIs, and Excel into structured, insightful reports. Use Power BI for data modelling and integration, simplifying complex data for actionable insights. Design and maintain interactive Power BI dashboards and reports, prioritizing clarity and relevance to support informed decision-making. Apply best practices in data visualization to enhance user experience and insight accessibility. Lead training initiatives to improve data entry, structure, and usage across teams, facilitating efficient use within Power BI models. Provide clear guidelines and training sessions to support data accuracy and reliability. What do you need for the role? No formal education requirement, provided the candidate is an expert in Power BI and can create high-quality, actionable dashboards. 2-3 years of hands-on experience with Power BI (or exceptional skills demonstrated through project work for fresh graduates). Strong proficiency in Power BI, including DAX queries, Power Query, and data modelling. Proven ability to transform complex data into clear, actionable insights that support business decision-making. Familiarity with Power Automate, Power Apps, and API integration for enhanced automation. Experience with databases, such as SQL Server or Azure, for data sourcing and integration. Knowledge of data warehousing and ETL processes (preferred). Advanced data visualization and storytelling skills. Strong analytical thinking and problem-solving capabilities. Excellent communication skills for effectively collaborating with stakeholders and presenting insights. Ability to independently manage multiple priorities and projects. Familiarity with report optimization best practices and ensuring data consistency. Attention to detail and strong organizational skills. What’s next? Once you’ve applied online, our team will carefully review your application. Due to a high volume of applications, we appreciate your patience to allow for a fair and timely review process. Should you be shortlisted for the role, we will send you an invitation via email for a digital interview. You can also check on your application status by logging into your candidate account. Maxis values diverse voices & people. We hire and reward our employees based on capability & performance — regardless of ethnicity, gender, age, education, religion, nationality or physical ability."
Product Operation Specialist - Data Acquisition,TikTok,Kuala Lumpur,Business/Systems Analysts (Information & Communication Technology),Full time,,"Responsibilities TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angeles and Singapore, and its offices include New York, London, Dublin, Paris, Berlin, Dubai, Jakarta, Seoul, and Tokyo. Why Join Us Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible. Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day. To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve. Join us. About the Team The success of TikTok's data business model hinges on the supply of a large volume of high quality labeled data that will grow exponentially as our business scales up. However, the current cost of data labeling is excessively high. The Data Solutions team is built to understand data strategically at scale for all Global Business Solution (GBS) business needs. Data Solutions Team uses quantitative and qualitative data to guide and uncover insights, turning our findings into real products to power exponential growth. Data Solutions Team responsibility includes infrastructure construction, recognition capabilities management, global labeling delivery management. About the Role Product Specialist will serve as a bridge between Business Partners (BPs), and their business lines, and the product team. They will work collaboratively with each other, BPs and requestors, to understand the intricacies of labelling for each business line, assessing current and incoming projects for suitability, blockers faced, and creatively problem solved for workarounds to help maximise utilisation. Product Specialist will take ownership of onboarding for each of their business lines, and should be capable stakeholder managers, as well as have some grounding in data analytics or scientific experimentation. Responsibilities 1. Product support - Develop product and platform expertise, working closely with Engineering, Product, and Operations teams to diagnose and resolve user issues; 2. Product operations - Strategically optimise and scale support processes to enhance efficiency and improve the overall user experience, incorporating data-driven insights and metrics; 3. Product documentation - Create and refine documentation to empower users to resolve issues via self-service, reducing dependency on support teams; 4. Project onboarding - Own project creation, creative solutioning of workarounds, conduct testing of queues and RCA of project blockers; 5. Labelling experiments - Design and run A/B tests on current templates to identify the best and most optimal designs in support of the efficiency improvements of the platform. Qualifications Minimum Qualifications 1. 1-3 years experience in operation for a tech or social media company data analytic experience; 2. Strong project management and cross-department communication skills; 4. Strong analytical skills, aptitude to independently learn new technologies; 5. Proficient skills in Excel, familiar with formulas, pivot tables, reports and presentations. Preferred Qualification 1. Good information analysis, data deep dive and interpretation capability; 2. Excellent problem-solving, task prioritization, follow-up, and eager learner; 3. Ability to use SQL and scripting languages (Python, R) are preferred; 4. Fluent in English (written and verbal) and other languages is a plus. TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too. #LI-SP6"
Data Strategy Analyst,Hyred APAC,Kuala Lumpur,Strategy & Planning (Consulting & Strategy),Full time,,"Our client is a leading global insurance player. Job Description We are seeking a proactive and detail-oriented Data Strategy Analyst to support the strategic development and implementation of data and AI initiatives across our insurance business. The Data Strategy Analyst will play a pivotal role in shaping company's future by leveraging data to drive strategic business decisions. This position is instrumental in enhancing operational efficiency, improving customer experiences, and fostering innovation across the organization. Key Responsibilities Strategic Planning and Support: Assist in developing and executing the company's Data strategy, aligning with overall business objectives. Documents Preparation: Draft papers, presentations, executive briefs, and other strategic documents for internal and external stakeholders. Stakeholder Engagement: Prepare decks and papers for key forums and meetings, effectively communicating complex data concepts to senior management and stakeholders. Cross-functional Collaboration: Work closely with various departments to align data initiatives with business goals, fostering a culture of innovation and continuous improvement. Performance Measurement: Develop and track key performance indicators (KPIs) to measure the impact of data initiatives on business outcomes. Required Skills and Qualifications Bachelor's degree in Business, Computer Science, or a related field. Masters degree is a plus. Minimum 2 years of proven consultancy experience in data related work. Understanding of data governance and AI technologies. Familiarity with the insurance industry and large-scale data initiatives is a plus. Knowledge of Power BI or similar analytics tools is a plus. Analytical mindset with strong problem-solving skills, capable of navigating and addressing complex business challenges. Exceptional ability to prepare and present decks and papers, conveying complex technical information in a clear and compelling manner. Strong team player with excellent interpersonal skills, capable of working effectively with cross-functional teams."
Machine Learning Engineer,Private Advertiser,"Bangsar South, Kuala Lumpur",Engineering - Software (Information & Communication Technology),Full time,"RM 8,000 – RM 11,000 per month","What you'll be doing? Model Development: Design and build scalable machine learning models that drive innovation and solve complex problems. Data Analysis: Dive into diverse datasets, preparing and preprocessing information to fuel powerful model training. Model Optimization: Train, validate, and fine-tune machine learning models to achieve peak performance and accuracy. Deployment Expertise: Bring models to life by deploying them into production and seamlessly integrating with existing systems. Performance Monitoring: Keep a vigilant eye on model performance, ensuring continued accuracy and relevance through updates. Cross-functional Collaboration: Work closely with data scientists, software engineers, and product managers to deliver impactful solutions. Continuous Learning: Stay ahead of the curve by researching the latest developments in machine learning and AI. Who are they looking for? Educational Background: A degree in a relevant field, demonstrating a strong foundation in machine learning concepts. Experience: At least 2 years of hands-on experience in machine learning or related areas. Language Proficiency: Fluency in Bahasa Malaysia, English, and Mandarin to facilitate effective communication. Technical Prowess: Expertise in scikit-learn, JAX, PyTorch, TensorFlow, Java, Go, and Python to tackle diverse technical challenges. Why you should consider this opportunity? Our client offers an attractive remuneration package and other benefits, such as: Medical/ Dental/ Optical Claim Medical Insurance Team Building Activity Company Trip Transport Allowance Meal Allowance Birthday Allowance 13th month salary Working Hour: 5 days work week Monday to Friday, 9am to 6 pm Ready to join this role? Click Apply now to submit your resume and share your availability and expected salary with us! We value diversity and encourage applications from candidates of all backgrounds and experiences. All information received will be kept strictly confidential and will be used only for employment-related purposes."
